madsrdf,"http://www.loc.gov/mads/rdf/v1#"
bflc,"http://id.loc.gov/ontologies/bflc/"
rdf,"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
foaf,"http://xmlns.com/foaf/0.1/"
yago,"http://yago-knowledge.org/resource/"
rdfs,"http://www.w3.org/2000/01/rdf-schema#"
dbo,"http://dbpedia.org/ontology/"
ex,"http://example.org/"
dbp,"http://dbpedia.org/property/"
dc,"http://purl.org/dc/elements/1.1/"
owl,"http://www.w3.org/2002/07/owl#"
gr,"http://purl.org/goodrelations/v1#"
spacerel,"http://data.ordnancesurvey.co.uk/ontology/spatialrelations/"
skos,"http://www.w3.org/2004/02/skos/core#"
geo,"http://www.w3.org/2003/01/geo/wgs84_pos#"
schema,"http://schema.org/"
xsd,"http://www.w3.org/2001/XMLSchema#"
dcat,"http://www.w3.org/ns/dcat#"
bf,"http://id.loc.gov/ontologies/bibframe/"
search,"http://sindice.com/vocab/search#"
sd,"http://www.w3.org/ns/sparql-service-description#"
org,"http://www.w3.org/ns/org#"
frbr,"http://purl.org/vocab/frbr/core#"
qb,"http://purl.org/linked-data/cube#"
dcterms,"http://purl.org/dc/terms/"
prov,"http://www.w3.org/ns/prov#"
sioc,"http://rdfs.org/sioc/ns#"
dct,"http://purl.org/dc/terms/"
xtypes,"http://purl.org/xtypes/"
ont,"http://purl.org/net/ns/ontology-annot#"
commerce,"http://search.yahoo.com/searchmonkey/commerce/"
dbpedia,"http://dbpedia.org/resource/"
void,"http://rdfs.org/ns/void#"
onto,"http://www.ontotext.com/"
rss,"http://purl.org/rss/1.0/"
bibo,"http://purl.org/ontology/bibo/"
gldp,"http://www.w3.org/ns/people#"
dbr,"http://dbpedia.org/resource/"
geonames,"http://www.geonames.org/ontology#"
event,"http://purl.org/NET/c4dm/event.owl#"
fb,"http://rdf.freebase.com/ns/"
wd,"http://www.wikidata.org/entity/"
pto,"http://www.productontology.org/id/"
vcard,"http://www.w3.org/2006/vcard/ns#"
dcmit,"http://purl.org/dc/dcmitype/"
cc,"http://creativecommons.org/ns#"
oo,"http://purl.org/openorg/"
md,"http://www.w3.org/ns/md#"
sc,"http://purl.org/science/owl/sciencecommons/"
doap,"http://usefulinc.com/ns/doap#"
rr,"http://www.w3.org/ns/r2rml#"
prog,"http://purl.org/prog/"
swrc,"http://swrc.ontoware.org/ontology#"
vann,"http://purl.org/vocab/vann/"
dbpprop,"http://dbpedia.org/property/"
gen,"http://purl.org/gen/0.1#"
nie,"http://www.semanticdesktop.org/ontologies/2007/01/19/nie#"
content,"http://purl.org/rss/1.0/modules/content/"
ma,"http://www.w3.org/ns/ma-ont#"
http,"http://www.w3.org/2011/http#"
tl,"http://purl.org/NET/c4dm/timeline.owl#"
ov,"http://open.vocab.org/terms/"
wot,"http://xmlns.com/wot/0.1/"
akt,"http://www.aktors.org/ontology/portal#"
fn,"http://www.w3.org/2005/xpath-functions#"
sio,"http://semanticscience.org/resource/"
aiiso,"http://purl.org/vocab/aiiso/schema#"
vs,"http://www.w3.org/2003/06/sw-vocab-status/ns#"
swc,"http://data.semanticweb.org/ns/swc/ontology#"
dcterm,"http://purl.org/dc/terms/"
cv,"http://rdfs.org/resume-rdf/"
ical,"http://www.w3.org/2002/12/cal/ical#"
marcrel,"http://id.loc.gov/vocabulary/relators/"
crm,"http://www.cidoc-crm.org/cidoc-crm/"
dbowl,"http://ontology.cybershare.utep.edu/dbowl/relational-to-ontology-mapping-primitive.owl#"
earl,"http://www.w3.org/ns/earl#"
mo,"http://purl.org/ontology/mo/"
xhtml,"http://www.w3.org/1999/xhtml#"
rel,"http://purl.org/vocab/relationship/"
prop,"http://dbpedia.org/property/"
obo,"http://purl.obolibrary.org/obo/"
daia,"http://purl.org/ontology/daia/"
dcam,"http://purl.org/dc/dcam/"
bio,"http://purl.org/vocab/bio/0.1/"
xmp,"http://ns.adobe.com/xap/1.0/"
ad,"http://schemas.talis.com/2005/address/schema#"
rdfg,"http://www.w3.org/2004/03/trix/rdfg-1/"
cs,"http://purl.org/vocab/changeset/schema#"
dc11,"http://purl.org/dc/elements/1.1/"
bill,"http://www.rdfabout.com/rdf/schema/usbill/"
example_onotology,"http://this.invalid/example_onotology#"
dv,"http://rdf.data-vocabulary.org/#"
factbook,"http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#"
co,"http://purl.org/ontology/co/core#"
xhv,"http://www.w3.org/1999/xhtml/vocab#"
og,"http://ogp.me/ns#"
pc,"http://purl.org/procurement/public-contracts#"
musim,"http://purl.org/ontology/similarity/"
air,"http://dig.csail.mit.edu/TAMI/2007/amord/air#"
d2rq,"http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#"
log,"http://www.w3.org/2000/10/swap/log#"
admin,"http://webns.net/mvcb/"
xs,"http://www.w3.org/2001/XMLSchema#"
afn,"http://jena.hpl.hp.com/ARQ/function#"
book,"http://purl.org/NET/book/vocab#"
media,"http://search.yahoo.com/searchmonkey/media/"
ir,"http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#"
ctag,"http://commontag.org/ns#"
mu,"http://mu.semte.ch/vocabularies/core/"
xfn,"http://gmpg.org/xfn/11#"
tzont,"http://www.w3.org/2006/timezone#"
biblio,"http://purl.org/net/biblio#"
days,"http://ontologi.es/days#"
botany,"http://purl.org/NET/biol/botany#"
time,"http://www.w3.org/2006/time#"
cyc,"http://sw.opencyc.org/concept/"
xf,"http://www.w3.org/2002/xforms/"
cal,"http://www.w3.org/2002/12/cal/ical#"
tag,"http://www.holygoat.co.uk/owl/redwood/0.1/tags/"
con,"http://www.w3.org/2000/10/swap/pim/contact#"
sism,"http://purl.oclc.org/NET/sism/0.1/"
reco,"http://purl.org/reco#"
dcq,"http://purl.org/dc/qualifiers/1.0/"
osag,"http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#"
af,"http://purl.org/ontology/af/"
dir,"http://schemas.talis.com/2005/dir/schema#"
ome,"http://purl.org/ontomedia/core/expression#"
rif,"http://www.w3.org/2007/rif#"
cld,"http://purl.org/cld/terms/"
sr,"http://www.openrdf.org/config/repository/sail#"
myspace,"http://purl.org/ontology/myspace#"
memo,"http://ontologies.smile.deri.ie/2009/02/27/memo#"
cmp,"http://www.ontologydesignpatterns.org/cp/owl/componency.owl#"
sdmx,"http://purl.org/linked-data/sdmx#"
jdbc,"http://d2rq.org/terms/jdbc/"
oa,"http://www.w3.org/ns/oa#"
rev,"http://purl.org/stuff/rev#"
ok,"http://okkam.org/terms#"
giving,"http://ontologi.es/giving#"
math,"http://www.w3.org/2000/10/swap/math#"
lomvoc,"http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#"
gn,"http://www.geonames.org/ontology#"
swanq,"http://purl.org/swan/1.2/qualifiers/"
swande,"http://purl.org/swan/1.2/discourse-elements/"
sdmxdim,"http://purl.org/linked-data/sdmx/2009/dimension#"
dcn,"http://www.w3.org/2007/uwa/context/deliverycontext.owl#"
unit,"http://qudt.org/vocab/unit/"
owlim,"http://www.ontotext.com/trree/owlim#"
as,"https://www.w3.org/ns/activitystreams#"
cfp,"http://sw.deri.org/2005/08/conf/cfp.owl#"
photoshop,"http://ns.adobe.com/photoshop/1.0/"
qudt,"http://qudt.org/schema/qudt/"
wfs,"http://schemas.opengis.net/wfs/"
exif,"http://www.w3.org/2003/12/exif/ns#"
sdmxa,"http://purl.org/linked-data/sdmx/2009/attribute#"
xsi,"http://www.w3.org/2001/XMLSchema-instance#"
omn,"http://open-multinet.info/ontology/omn#"
om,"http://opendata.caceres.es/def/ontomunicipio#"
